22967	Leptodactylus elenae	Marbled White-lipped Frog
22973	Leptodactylus fuscus	Whistling Grass Frog
22974	Leptodactylus latinasus	Oven Frog
22976	Leptodactylus fragilis	Mexican White-lipped Frog
22981	Leptodactylus gracilis	Dumeril's Striped Frog
22983	Leptodactylus labyrinthicus	Pepper Frog
22984	Leptodactylus mystaceus	Basin White-lipped Frog
230720	Scudderia pistillata	Broad-winged Bush Katydid
23124	Physalaemus gracilis	Graceful Dwarf Frog
23126	Physalaemus nanus	Santa Catharina Dwarf Frog
23132	Physalaemus olfersii	Atlantic Forest Dwarf Frog
23144	Physalaemus cuvieri	Cuvier’s Foam Frog
23158	Physalaemus albonotatus	Pale-legged Weeping Frog
23174	Pseudopaludicola falcipes	Hensel's Swamp Frog
23201	Batrachyla antartandica	Marbled Wood Frog
23202	Batrachyla leptopus	Gray Wood Frog
23203	Batrachyla taeniata	Banded Wood Frog
23214	Pleurodema thaul	Chilean Four-eyed Frog
23222	Hylorina sylvatica	Emerald Forest Frog
23323	Hyperolius pusillus	Water Lily Reed Frog
23331	Hyperolius marmoratus	Painted Reed Frog
23342	Hyperolius tuberilinguis	Tinker Reed Frog
233598	Vulpes lagopus	Arctic Fox
23366	Hyperolius parallelus	Angolan Reed Frog
23407	Leptopelis mossambicus	Mozambique Forest Tree Frog
23450	Afrixalus delicatus	Delicate Spiny Reed Frog
23455	Afrixalus fornasini	Fornasini's Spiny Reed Frog
23512	Kassina senegalensis	Senegal Running Frog
23528	Semnodactylus wealii	Weale's Running Frog
23647	Litoria nasuta	Striped Rocket Frog
23654	Litoria latopalmata	Broad-palmed Rocket Frog
23702	Agalychnis callidryas	Red-eyed Tree Frog
23735	Phyllomedusa distincta	Sao Paulo Leaf Frog
23798	Hyla savignyi	Lemon-yellow Tree Frog
23922	Hyla intermedia	Italian Tree Frog
23968	Hyla chinensis	Common Chinese Tree Frog
23998	Hyla sarda	Sardinian Tree Frog
24045	Hyla meridionalis	Mediterranean Tree Frog
24182	Osteocephalus oophagus	Egg-eating Spiny-backed Frog
24230	Acris crepitans	Northern Cricket Frog
24255	Pseudacris maculata	Boreal Chorus Frog
24258	Pseudacris clarkii	Spotted Chorus Frog
24267	Pseudacris triseriata	Western Chorus Frog
24268	Pseudacris crucifer	Spring Peeper
24272	Smilisca phaeota	Masked Tree Frog
24277	Smilisca baudinii	Mexican Treefrog
24279	Scinax nasicus	Lesser Snouted Tree Frog
24285	Scinax fuscovarius	Fuscous-blotched Snouted Tree Frog
24287	Scinax fuscomarginatus	Brown-bordered Snouted Tree Frog
24288	Scinax garbei	Eirunepe Snouted Tree Frog
24322	Scinax ruber	Red Snouted Tree Frog
24323	Scinax staufferi	Stauffer's Tree Frog
24324	Scinax perereca	Ribeirão Branco Snouted Tree Frog
24357	Scinax squalirostris	Striped Snouted Tree Frog
24362	Scinax nebulosus	Spix's Snouted Tree Frog
24363	Scinax granulatus	Argentine Snouted Tree Frog
24382	Osteopilus septentrionalis	Cuban Tree Frog
243961	Cicada orni	Ash Cicada
244007	Diceroprocta texana	Texas Plain Flag-Bearer
244012	Diceroprocta delicata	Delicate Flag-Bearer
244024	Quesada gigas	Giant Cicada
24411	Pseudis minuta	Lesser Swimming Frog
24412	Pseudis paradoxa	Paradoxical Swimming Frog
24443	Aplastodiscus perviridis	Canebrake Tree Frog
24473	Alytes obstetricans	Common Midwife Toad
24475	Alytes cisternasii	Iberian Midwife Toad
24495	Bombina bombina	European Fire-Bellied Toad
24501	Bombina orientalis	Oriental Fire-bellied Toad
24826	Microhyla heymonsi	Dark-sided Chorus Frog
24832	Microhyla butleri	Tubercled Pygmy Frog
24899	Phrynomantis bifasciatus	Red-Banded Rubber Frog
24914	Kaloula baleata	Muller's Narrowmouth Frog
24915	Kaloula borealis	Boreal Digging Frog
25001	Breviceps adspersus	Common Rain Frog
25002	Breviceps mossambicus	Mozambique Rain Frog
25078	Gastrophryne carolinensis	Eastern Narrow-mouthed Toad
25092	Elachistocleis bicolor	Two-colored oval frog
25180	Micryletta steinegeri	Stejneger's Paddy Frog
25183	Metaphrynella sundana	Bornean Tree Hole Frog
25185	Hypopachus variolosus	Sheep Frog
25224	Crinia parinsignifera	Beeping Froglet
25225	Crinia deserticola	Desert Froglet
25231	Crinia signifera	Common Eastern Froglet
25312	Pelobates fuscus	Common Spadefoot
25316	Pelodytes ibericus	Iberian parsley frog
25369	Phrynobatrachus mababiensis	Mababe puddle frog
25383	Phrynobatrachus natalensis	Natal Puddle Frog
25411	Cacosternum boettgeri	Boettger's dainty frog
25488	Rana arvalis	Moor Frog
25545	Rana aurora	Northern Red-legged Frog
25591	Rana temporaria	European Common Frog
25669	Rana dalmatina	Agile Frog
25763	Ptychadena mossambica	Mozambique ridged frog
25778	Ptychadena anchietae	Anchieta's Ridged Frog
25801	Tomopterna natalensis	Natal sand frog
25806	Tomopterna delalandii	Cape sand frog
25859	Occidozyga lima	Green Puddle Frog
25861	Occidozyga martensii	Round-tongued Floating Frog
26053	Fejervarya limnocharis	Paddy Field Frog
26214	Strongylopus grayii	Clicking Stream Frog
26218	Strongylopus fasciatus	Striped Stream Frog
26258	Hoplobatrachus tigerinus	Indus Valley Bullfrog
26571	Polypedates megacephalus	Spot-legged Tree Frog
26592	Polypedates leucomystax	Common Southeast Asian Tree Frog
26651	Kurixalus idiootocus	Temple Tree Frog
26652	Kurixalus eiffingeri	Eiffinger's Tree Frog
26656	Chiromantis xerampelina	Grey Foam-nest Tree Frog
26691	Scaphiopus couchii	Couch's Spadefoot
26698	Spea multiplicata	Mexican Spadefoot
